time;elev_torq;ail_torq;Pitch;Aileron;Elevator;Rudder;ErrorRud;ErrSumRud;out_I;out_P;out_D;torq_main_rotor;torq_tail_rotor;force_tail;Piro_rate;tail_limt;tail_angle;Pcomp;
1.569802;0;0;0.3686405;0;0;0.1583606;-0.1096475;-0.0001085221;-0.006511328;-0.005482376;0.002153879;26.28602;30.21207;37.55145;1.905281;-0.009839824;9.655606;0;
1.586502;0;0;0.3834147;0;0;0.1688406;-0.05988955;-0.0002085377;-0.01251226;-0.002994478;0.001191807;27.05142;30.05091;38.64489;2.122096;-0.01431493;9.498978;0.147742;
1.603202;0;0;0.4127249;0;0;0.1688406;-0.07524794;-0.0003342018;-0.02005211;-0.003762397;-0.0003678656;28.49818;29.29749;40.71169;2.282814;-0.02418237;9.153617;0.2931014;
1.619902;0;0;0.4127249;0;0;0.1583606;-0.5172957;-0.001198086;-0.07188514;-0.02586479;-0.01058797;28.61009;20.50767;40.87156;2.312929;-0.1083379;6.208174;0;
1.636602;0;0;0.4127249;0;0;0.1583606;-0.02358603;-0.001237474;-0.07424846;-0.001179302;0.01182538;28.72486;25.55544;41.03552;1.81922;-0.06360237;7.773917;0;
1.653302;0;0;0.4127249;0;0;0.1583606;0.1763067;-0.000943042;-0.05658252;0.008815336;0.00478785;28.8344;28.04809;41.19199;1.619327;-0.04297934;8.495723;0;
1.670002;0;1;0.4127249;0;0;0.1583606;0.2345341;-0.00055137;-0.0330822;0.01172671;0.001394669;28.94032;30.8391;41.34332;1.5611;-0.01996083;9.301371;0;
1.686702;0;1;0.4127249;0;0;0.1583606;0.1343796;-0.000326956;-0.01961736;0.006718982;-0.00239891;29.04256;31.63428;41.48937;1.661254;-0.01529729;9.464595;0;
1.703402;0;0;0.4127249;0;0;0.1583606;-0.005804896;-0.0003366502;-0.02019901;-0.0002902448;-0.003357713;29.14242;30.96088;41.63203;1.801439;-0.02384697;9.165356;0;
1.720102;0;0;0.442035;0;0;0.1583606;0.1936916;-1.318531E-05;-0.0007911185;0.009684578;0.004778358;30.6456;35.43306;43.77943;1.895043;0.01367182;10.47851;0.2931014;
1.736802;0;0;0.4566901;0;0;0.1378379;-0.4531215;-0.0007698982;-0.04619389;-0.02265607;-0.01549253;31.45794;24.66886;44.93992;2.162601;-0.08434249;7.048013;0.1465508;
1.753502;0;0;0.4861194;0;0;0.1277913;-0.003951609;-0.0007764974;-0.04658984;-0.0001975805;0.01075856;33.07903;30.33899;47.25576;1.747256;-0.03602886;8.73899;0.2942929;
1.770202;0;1;0.4861194;0;0;0.1277913;-0.1241392;-0.0009838098;-0.05902859;-0.006206959;-0.002878744;33.12035;26.90983;47.31478;1.57315;-0.0681143;7.616;0;
1.786902;0;1;0.4861194;0;0;0.1277913;0.2528083;-0.0005616199;-0.03369719;0.01264042;0.009028682;33.16449;33.54202;47.37784;1.196203;-0.01202809;9.579017;0;
