Power_pitch;Power_cyclic;Power_tail;Power_0;Power_oversp;
1420;68;235;686;0;
1447;75;239;685;0;
1476;17;246;685;0;
1514;20;233;685;0;
1523;160;258;684;0;
1493;83;256;681;0;
1463;26;253;681;0;
1420;4;238;682;0;
1398;3;235;683;0;
1372;33;231;685;0;
1362;7;230;687;0;
1353;8;228;690;0;
1350;20;227;692;0;
1350;0;228;695;0;
1350;9;228;697;0;
1355;6;228;699;0;
1360;2;228;701;0;
1371;83;229;703;0;
1389;151;231;703;0;
1440;52;237;702;0;
1478;26;242;702;0;
1531;41;260;700;0;
1564;34;241;698;0;
1606;27;258;695;0;
1628;19;258;693;0;
1650;12;253;689;0;
1659;0;252;687;0;
1662;20;263;683;0;
1662;15;255;680;0;
1660;3;264;677;0;
1655;51;263;674;0;
1632;61;261;670;0;
1608;57;267;668;0;
1560;57;252;666;0;
1525;0;250;666;0;
1478;22;243;666;0;
1452;44;240;667;0;
1424;35;237;668;0;
1412;9;236;670;0;
1394;4;237;673;0;
1384;49;243;674;0;
1382;31;242;677;0;
1387;5;231;678;0;
1396;8;236;681;0;
1402;9;230;683;0;
1411;5;234;685;0;
1416;2;246;686;0;
1422;1;238;688;0;
1426;6;234;689;0;
1437;10;251;690;0;
1445;6;250;691;0;
1448;26;238;691;0;
1441;30;229;691;0;
1427;8;246;692;0;
1418;11;233;693;0;
1413;2;235;694;0;
1411;1;234;695;0;
1409;6;223;697;0;
1412;43;222;697;0;
1426;7;236;698;0;
1437;5;238;699;0;
1452;29;249;699;0;
1464;5;238;699;0;
1478;14;243;699;0;
1487;14;243;698;0;
1499;19;244;698;0;
1510;25;245;697;0;
1535;93;248;695;0;
1555;47;251;693;0;
1583;14;254;690;0;
1599;29;256;688;0;
1622;48;259;685;0;
1638;21;261;683;0;
1658;28;263;679;0;
1669;9;265;677;0;
1675;17;266;673;0;
1677;11;266;670;0;
1680;8;267;667;0;
1681;14;267;665;0;
1678;1;267;662;0;
1673;0;267;660;0;
1656;1232;265;657;0;
1667;308;266;645;0;
1658;94;267;641;0;
1630;94;264;639;0;
1568;59;256;637;0;
1525;40;251;637;0;
1470;11;245;639;0;
1442;14;241;641;0;
1414;43;238;644;0;
1406;7;228;647;0;
1402;2;235;650;0;
1401;0;226;653;0;
1399;4;225;657;0;
1396;8;232;659;0;
1397;15;238;663;0;
1402;16;245;665;0;
1416;8;237;668;0;
1428;0;238;669;0;
1443;9;237;671;0;
1453;22;243;673;0;
1468;2;241;674;0;
1476;0;243;675;0;
1482;6;244;676;0;
1486;9;244;676;0;
1493;10;246;677;0;
1500;31;244;677;0;
1518;27;260;677;0;
1532;22;249;676;0;
1552;3;252;676;0;
1558;11;252;675;0;
1561;3;253;674;0;
1562;6;253;673;0;
1567;3;253;672;0;
1570;5;254;671;0;
1565;1;253;671;0;
1556;4;253;670;0;
1538;10;250;670;0;
1530;86;249;669;0;
1539;36;250;668;0;
1551;14;252;668;0;
1567;21;254;667;0;
1580;20;255;666;0;
1599;12;258;665;0;
1608;0;259;664;0;
1607;2;259;663;0;
1603;3;258;662;0;
1591;4;257;661;0;
1576;0;255;660;0;
1554;4;253;660;0;
1540;5;251;660;0;
1523;0;249;660;0;
1514;8;248;661;0;
1504;7;247;662;0;
1500;0;247;662;0;
1494;3;255;664;0;
1490;6;244;664;0;
1050;1;158;667;0;
1024;1;179;674;0;
1040;4;198;685;0;
1046;0;191;692;0;
1053;1;195;702;0;
1057;4;195;709;0;
1063;0;191;717;0;
1066;4;204;723;0;
570;12;110;736;0;
435;35;121;750;0;
304;57;146;768;0;
148;226;214;770;0;
6;477;-119;764;0;
0;174;91;769;0;
-9;48;120;772;274;
5;32;-5;785;154;
99;48;-87;861;2984;
297;66;-36;1099;0;
372;158;-14;1053;0;
352;173;-16;1020;0;
339;67;7;977;0;
341;277;-18;951;0;
356;270;-16;912;0;
312;275;18;886;0;
202;37;-56;850;0;
46;10;-49;964;1383;
342;114;116;976;0;
1513;1065;-8;939;0;
2282;2276;272;838;0;
2108;2053;416;761;0;
1926;1720;380;653;0;
1796;1908;313;626;0;
1737;467;222;598;0;
1300;25;200;595;0;
997;1096;193;604;0;
871;1283;190;600;0;
739;318;205;602;0;
690;39;223;611;0;
648;71;260;629;0;
639;95;311;639;0;
646;131;132;650;0;
663;39;128;663;0;
688;11;183;682;0;
698;38;161;690;0;
493;522;71;690;0;
179;453;192;814;0;
27;604;-104;782;0;
324;909;212;758;0;
462;990;111;705;0;
418;399;134;693;0;
382;287;116;690;0;
374;410;118;693;0;
375;189;119;695;0;
353;243;105;697;0;
363;174;132;698;0;
373;297;120;698;0;
398;111;121;699;0;
444;37;138;700;0;
464;48;129;701;0;
469;43;132;701;0;
693;108;106;701;0;
758;127;161;699;0;
777;57;209;699;0;
912;33;117;697;0;
1220;2;246;697;0;
1528;5;248;694;0;
1844;0;289;690;0;
1849;23;302;684;0;
1783;31;273;676;0;
1750;58;275;672;0;
1719;104;270;666;0;
1709;135;249;662;0;
1709;22;298;657;0;
1711;9;287;655;0;
1715;18;269;651;0;
1717;49;274;649;0;
1722;134;272;645;0;
1729;133;275;642;0;
1745;255;335;635;0;
1757;456;346;628;0;
1777;830;317;612;0;
1789;861;364;601;0;
1788;694;301;583;0;
1773;93;283;576;0;
1751;98;293;575;0;
1743;175;286;573;0;
1738;219;285;570;0;
1737;558;286;568;0;
1743;453;288;559;0;
1756;273;292;556;0;
1765;182;295;553;0;
1767;120;280;552;0;
1772;11;230;553;0;
1774;16;222;555;0;
1763;173;232;556;0;
1749;143;250;556;0;
1718;469;297;555;0;
1670;688;328;550;0;
1559;532;345;541;0;
1481;423;335;538;0;
1376;254;320;539;0;
1325;201;335;541;0;
1281;152;406;545;0;
1271;153;481;547;0;
1281;181;344;546;0;
1307;39;309;550;0;
1346;196;341;556;0;
1363;278;329;557;0;
1387;119;324;559;0;
1408;69;352;562;0;
1432;107;306;565;0;
1433;76;292;567;0;
1419;87;324;572;0;
1410;61;377;574;0;
1402;1;507;575;0;
1394;10;265;574;0;
1346;7;341;580;0;
1396;2;337;583;0;
1348;76;268;587;0;
1386;151;267;590;0;
1364;115;259;594;0;
1350;194;249;597;0;
1333;189;282;601;0;
1278;85;221;604;0;
1280;206;154;613;0;
1280;299;128;616;0;
461;523;143;629;0;
128;368;59;834;3866;
0;648;111;930;0;
335;126;-65;900;0;
866;95;-124;862;0;
1180;66;-146;829;0;
1298;11;0;782;0;
1506;3;287;749;0;
1426;9;215;739;0;
1631;2;306;738;0;
1608;179;256;731;0;
1568;8;251;726;0;
1520;101;244;721;0;
1443;345;190;718;0;
1067;305;242;717;0;
802;257;162;719;0;
829;133;153;729;0;
743;123;191;737;0;
492;30;153;748;0;
376;52;125;750;0;
398;126;117;750;0;
412;130;122;749;0;
432;74;122;749;0;
443;117;126;748;0;
458;217;104;748;0;
467;313;152;746;0;
329;439;75;743;0;
231;475;141;744;0;
106;902;74;743;0;
33;856;106;742;0;
0;926;68;740;0;
0;959;76;740;0;
0;832;113;740;0;
0;673;86;741;0;
0;279;244;744;0;
0;17;57;746;0;
0;172;89;749;0;
11;438;67;747;0;
150;264;126;745;0;
187;265;146;745;0;
396;331;95;740;0;
645;179;113;738;0;
716;234;179;736;0;
711;297;156;734;0;
765;100;133;733;0;
863;0;156;734;0;
1082;67;176;731;0;
1106;51;186;730;0;
1265;0;197;729;0;
1293;12;205;728;0;
1312;28;224;727;0;
1292;4;230;727;0;
1264;7;222;727;0;
1248;10;223;727;0;
1230;23;212;728;0;
1221;19;194;728;0;
1208;26;213;728;0;
1199;64;217;728;0;
1141;27;221;728;0;
1137;16;198;729;0;
882;12;181;731;0;
629;1;232;735;0;
542;14;123;736;0;
550;68;135;737;0;
563;11;141;736;0;
570;2;141;736;0;
580;45;142;736;0;
587;53;143;735;0;
599;232;144;734;0;
612;105;145;732;0;
636;32;148;733;0;
652;5;150;733;0;
672;11;152;733;0;
683;14;153;733;0;
698;5;155;732;0;
854;15;214;732;0;
975;1;212;730;0;
1141;11;194;727;0;
1169;2;237;726;0;
1346;0;263;725;0;
1778;24;322;719;0;
1850;14;304;711;0;
1786;69;307;688;0;
1770;3;292;683;0;
1744;22;253;675;0;
1677;38;270;671;0;
1718;21;292;666;0;
1713;9;281;663;0;
1700;58;289;660;0;
1691;344;273;656;0;
1699;182;275;647;0;
1722;59;283;644;0;
1760;164;245;640;0;
1785;232;209;636;0;
1825;16;194;632;0;
1788;131;202;631;0;
1821;408;249;626;0;
1764;395;313;619;0;
1601;332;401;609;0;
1537;202;408;604;0;
1467;54;340;600;0;
1480;71;303;600;0;
1381;109;304;602;0;
1401;87;338;603;0;
1371;65;434;604;0;
1313;230;517;602;0;
1345;190;357;596;0;
1297;30;321;596;0;
1352;26;402;600;0;
1359;34;385;601;0;
1375;73;344;603;0;
1384;128;361;604;0;
1385;250;398;603;0;
1381;164;401;601;0;
1389;80;397;600;0;
1354;334;400;600;0;
1414;285;362;598;0;
1415;475;362;595;0;
1367;170;367;591;0;
1429;262;370;591;0;
1446;695;400;586;0;
1450;694;413;579;0;
1411;48;411;569;0;
1474;83;405;568;0;
1454;94;383;567;0;
1526;302;376;567;0;
1554;386;396;562;0;
1571;640;407;558;0;
1535;722;367;549;0;
1595;510;314;544;0;
1621;125;254;542;0;
1646;125;240;545;0;
1681;211;238;546;0;
1702;268;242;547;0;
1664;478;244;545;0;
1655;247;244;543;0;
1612;173;247;544;0;
1562;433;255;543;0;
1525;562;286;543;0;
1425;837;313;540;0;
1375;488;341;536;0;
1409;78;343;537;0;
1396;286;332;541;0;
1387;578;328;542;0;
1327;786;334;539;0;
1362;686;350;536;0;
1340;221;397;534;0;
1285;133;446;535;0;
1317;203;531;537;0;
1303;195;556;536;0;
1239;68;316;539;0;
1237;49;345;543;0;
1242;221;204;550;0;
1252;95;241;557;0;
816;98;108;569;0;
474;50;185;583;0;
255;85;90;801;0;
238;71;227;953;0;
130;2;-116;1045;3904;
